날짜,요일,시간대,메뉴,기온,강수량,식수량,시험기간 여부
2025-01-23,Thursday,점심,등록된 식단내용이(가) 없습니다.,-2.2,0.0,0,아니오
2025-01-24,Friday,점심,등록된 식단내용이(가) 없습니다.,-3.1,0.0,0,아니오
2025-01-27,Monday,점심,등록된 식단내용이(가) 없습니다.,3.9,0.0,0,아니오
2025-01-28,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-2.4,0.3,0,아니오
2025-01-29,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-5.4,0.0,0,아니오
2025-01-30,Thursday,점심,등록된 식단내용이(가) 없습니다.,-7.2,0.0,0,아니오
2025-01-31,Friday,점심,등록된 식단내용이(가) 없습니다.,-2.7,0.0,0,아니오
2025-02-03,Monday,점심,등록된 식단내용이(가) 없습니다.,0.9,0.0,0,아니오
2025-02-04,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-7.8,0.0,0,아니오
2025-02-05,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-9.9,0.0,0,아니오
2025-02-06,Thursday,점심,등록된 식단내용이(가) 없습니다.,-9.9,0.0,0,아니오
2025-02-07,Friday,점심,등록된 식단내용이(가) 없습니다.,-6.1,0.0,0,아니오
2025-02-10,Monday,점심,등록된 식단내용이(가) 없습니다.,-6.6,0.0,0,아니오
2025-02-11,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-5.5,0.0,0,아니오
2025-02-12,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-0.5,0.0,0,아니오
2025-02-13,Thursday,점심,등록된 식단내용이(가) 없습니다.,-2.4,0.0,0,아니오
2025-02-14,Friday,점심,등록된 식단내용이(가) 없습니다.,-1.3,0.0,0,아니오
2025-02-17,Monday,점심,등록된 식단내용이(가) 없습니다.,0.6,0.0,0,아니오
2025-02-18,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-3.4,0.0,0,아니오
2025-02-19,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-4.4,0.0,0,아니오
2025-02-20,Thursday,점심,등록된 식단내용이(가) 없습니다.,-4.6,0.0,0,아니오
2025-02-21,Friday,점심,등록된 식단내용이(가) 없습니다.,-4.5,0.0,0,아니오
2025-02-24,Monday,점심,등록된 식단내용이(가) 없습니다.,-5.3,0.0,0,아니오
2025-02-25,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-3.2,0.0,0,아니오
2025-02-26,Wednesday,점심,등록된 식단내용이(가) 없습니다.,1.3,0.0,0,아니오
2025-02-27,Thursday,점심,등록된 식단내용이(가) 없습니다.,-2.2,0.0,0,아니오
2025-02-28,Friday,점심,등록된 식단내용이(가) 없습니다.,0.9,0.0,0,아니오
2025-03-03,Monday,점심,등록된 식단내용이(가) 없습니다.,2.8,5.4,0,아니오
2025-03-04,Tuesday,점심,스팸김치볶음밥 (돈:국산),2.0,0.0,354,아니오
2025-03-05,Wednesday,점심,치즈돈까스 (돈:국산),3.0,0.0,324,아니오
2025-03-06,Thursday,점심,오므라이스,2.3,0.0,234,아니오
2025-03-07,Friday,점심,통살치킨버거 (계:국산),0.8,0.0,108,아니오
2025-03-10,Monday,점심,제육덮밥 (돈:국산),2.0,0.0,267,아니오
2025-03-11,Tuesday,점심,크림카레우동 (우:호주산),2.6,0.0,288,아니오
2025-03-12,Wednesday,점심,치즈옹심이떡볶이 (돈:국산),5.5,0.0,266,아니오
2025-03-13,Thursday,점심,캠핑모듬구이 (돈:독일산+국산),6.2,0.0,182,아니오
2025-03-14,Friday,점심,돼지국밥*소면 (돈:국산),6.0,0.0,178,아니오
2025-03-17,Monday,점심,스팸마요덮밥 (돈:국산),1.3,0.0,278,아니오
2025-03-18,Tuesday,점심,등심돈가스 (돈:국산),1.1,0.0,318,아니오
2025-03-19,Wednesday,점심,<위시런치>,1.2,0.0,0,아니오
2025-03-20,Thursday,점심,날치알김치볶음밥,1.2,0.0,160,아니오
2025-03-21,Friday,점심,길거리토스트 (돈:국산),5.8,0.0,125,아니오
2025-03-24,Monday,점심,미트볼스파게티 (돈:국산),13.0,0.0,289,아니오
2025-03-25,Tuesday,점심,짬뽕국 (오징어:국산),10.2,0.0,276,아니오
2025-03-26,Wednesday,점심,일본식규동 (우:호주산),7.6,0.0,301,아니오
2025-03-27,Thursday,점심,불닭덮밥 (계:국산),14.7,0.0,132,아니오
2025-03-28,Friday,점심,나주곰탕 (우:뉴질랜드산),7.0,0.0,123,아니오
2025-03-31,Monday,점심,마살라치킨커리 (계:국산),2.8,0.0,226,아니오
2025-04-01,Tuesday,점심,치즈돈까스 (돈:국산),4.4,0.0,258,아니오
2025-04-02,Wednesday,점심,마라탕 (우:호주산),4.8,0.0,318,아니오
2025-04-03,Thursday,점심,오므라이스(돈:국산,5.9,0.0,210,아니오
2025-04-04,Friday,점심,전주비빔밥 (우:호주산),4.8,0.0,160,아니오
2025-04-07,Monday,점심,김치볶음밥(돈:국산),6.3,0.0,297,아니오
2025-04-08,Tuesday,점심,마파두부덮밥 (돈:국산),12.8,0.0,224,아니오
2025-04-09,Wednesday,점심,해물빠에야 (오징어:원양산),7.6,0.0,0,아니오
2025-04-10,Thursday,점심,불닭덮밥 (계:국산),10.5,0.0,156,아니오
2025-04-11,Friday,점심,마제소바 (돈:국산),7.7,0.0,147,아니오
2025-04-14,Monday,점심,스팸마요덮밥 (돈:외국산),5.4,0.0,284,아니오
2025-04-15,Tuesday,점심,등록된 식단내용이(가) 없습니다.,3.6,0.0,0,아니오
2025-04-16,Wednesday,점심,미니소바,5.7,0.0,291,아니오
2025-04-17,Thursday,점심,장터국밥 (우:뉴질랜드산),14.0,0.0,213,아니오
2025-04-18,Friday,점심,양지쌀국수 (우:호주산),16.2,0.0,166,아니오
2025-04-21,Monday,점심,비프카레라이스 (호주산),12.8,0.0,240,아니오
2025-04-22,Tuesday,점심,짜장밥 (돈:국산),18.2,0.0,271,아니오
2025-04-23,Wednesday,점심,누들떡볶이 (돈:국산),14.8,0.0,170,예
2025-04-24,Thursday,점심,가츠동덮밥 (돈:국산),10.7,0.0,180,예
2025-04-25,Friday,점심,피자 (돈:국산),9.2,0.0,163,예
2025-04-28,Monday,점심,스팸김치볶음밥 (돈:국산),11.6,0.0,241,예
2025-04-29,Tuesday,점심,차슈덮밥 (돈:국산),10.7,0.0,323,예
2025-04-30,Wednesday,점심,물냉면,9.6,0.0,304,아니오
2025-05-01,Thursday,점심,안성장터국밥 (우:호주산),15.4,0.0,128,아니오
2025-05-02,Friday,점심,군대리아 (돈:외국산),9.3,0.0,67,아니오
2025-05-05,Monday,점심,등록된 식단내용이(가) 없습니다.,9.3,0.0,0,아니오
2025-05-06,Tuesday,점심,등록된 식단내용이(가) 없습니다.,10.9,0.0,1,아니오
2025-05-07,Wednesday,점심,등록된 식단내용이(가) 없습니다.,9.6,0.0,195,예
2025-05-08,Thursday,점심,봉골레파스타,9.7,0.0,146,예
2025-05-09,Friday,점심,갈비탕 (우:미국산),15.6,0.0,151,예
2025-05-12,Monday,점심,닭갈비덮밥 (계:국산),9.8,0.0,245,예
2025-05-13,Tuesday,점심,냉모밀,12.9,0.0,312,예
2025-05-14,Wednesday,점심,제육덮밥 (돈:국산),13.9,0.0,255,아니오
2025-05-15,Thursday,점심,간짜장 (돈:국산),20.2,0.0,180,아니오
2025-05-16,Friday,점심,봄나물비빔밥,18.6,0.0,69,아니오
2025-05-19,Monday,점심,오므라이스 (돈:국산),10.6,0.0,177,아니오
2025-05-20,Tuesday,점심,지코바치밥 (계:국산),19.1,0.0,233,아니오
2025-05-21,Wednesday,점심,캐나다식비프덮밥  (호주산),21.7,0.0,3,아니오
2025-05-22,Thursday,점심,돼지국밥 (돈:국산),19.4,0.0,209,아니오
2025-05-23,Friday,점심,옛날장각통닭 (계:국산),20.3,0.0,119,아니오
2025-05-26,Monday,점심,새우계란볶음밥,12.6,0.0,197,아니오
2025-05-27,Tuesday,점심,비빔국수 (돈:국산),15.2,0.0,271,아니오
2025-05-28,Wednesday,점심,토마토스파게티 (돈:국산),16.0,0.0,245,아니오
2025-05-29,Thursday,점심,소고기 규동 (우:호주산),16.1,0.0,206,아니오
2025-05-30,Friday,점심,차돌쌀국수 (우:호주산),15.9,0.0,107,아니오
2025-06-02,Monday,점심,숯불닭갈비*날치알밥 (계:국산),17.1,0.0,171,아니오
2025-06-03,Tuesday,점심,미운영,17.8,0.0,1,아니오
2025-06-04,Wednesday,점심,마라탕 (돈:국산),14.9,0.0,225,아니오
2025-06-05,Thursday,점심,제육덮밥 (돈:국산),15.4,0.0,187,아니오
2025-06-06,Friday,점심,미운영,17.8,0.0,0,아니오
2025-06-09,Monday,점심,오므라이스 (돈:국산),22.0,0.0,172,아니오
2025-06-10,Tuesday,점심,스팸김치볶음밥 (돈:국산),18.8,0.0,285,아니오
2025-06-11,Wednesday,점심,치즈닭갈비 (계:국산),16.1,0.0,243,예
2025-06-12,Thursday,점심,캠핑모듬구이/계란찜 (돈:국산),18.0,0.0,116,예
2025-06-13,Friday,점심,설렁탕 (우:호주산),20.9,0.0,127,예
2025-06-16,Monday,점심,가츠동(돈:국산),22.4,2.7,0,예
2025-06-17,Tuesday,점심,차돌깍두기볶음밥 (우:미국산),21.1,0.2,0,예
2025-06-18,Wednesday,점심,<위시런치>,21.1,0.0,0,아니오
2025-06-19,Thursday,점심,어묵탕,21.4,0.0,0,아니오
2025-06-20,Friday,점심,마제소바 (돈:국산),27.7,0.0,0,아니오
